category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,source,notes
Tropical fruits and trees,palm_trees,Palm Trees,0.7,1.1,0.65,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,pineapple,Pineapple,0.3,0.6,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,rubber_trees,Rubber Trees,1.0,1.5,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,tea_non_shaded,Tea - non-shaded,0.9,1.5,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,tea_shaded,Tea - shaded,0.9,1.5,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Grapes and berries,berries_bushes,Berries (bushes),0.6,1.2,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Grapes and berries,grapes_table_or_raisin,Grapes - Table or Raisin,1.0,2.0,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Grapes and berries,grapes_wine,Grapes - Wine,1.0,2.0,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Grapes and berries,hops,Hops,1.0,1.2,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,almonds,Almonds,1.0,2.0,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,apples_cherries_pears,"Apples, Cherries, Pears",1.0,2.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,apricots_peaches_stone_fruit,"Apricots, Peaches, Stone Fruit",1.0,2.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,avocado,Avocado,0.5,1.0,0.7,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,citrus_70_percent_canopy,Citrus - 70% canopy,1.2,1.5,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,citrus_50_percent_canopy,Citrus - 50% canopy,1.1,1.5,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,citrus_20_percent_canopy,Citrus - 20% canopy,0.8,1.1,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,conifer_trees,Conifer Trees,1.0,1.5,0.7,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,kiwi,Kiwi,0.7,1.3,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,olives_40_60_percent_canopy,Olives (40 to 60% ground coverage by canopy),1.2,1.7,0.65,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,pistachios,Pistachios,1.0,1.5,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fruit trees,walnut_orchard,Walnut Orchard,1.7,2.4,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
