category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,kc_ini,kc_ini_min,kc_ini_max,kc_mid,kc_mid_min,kc_mid_max,kc_end,kc_end_min,kc_end_max,max_crop_height_m,max_crop_height_min_m,max_crop_height_max_m,kc_condition,source,kc_source,notes,kc_notes
Legumes,chick_pea,Chick pea,0.6,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.00,1.0,1.0,0.35,0.35,0.35,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Legumes,fababean_fresh,Fababean (broad bean) - Fresh,0.5,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.15,1.15,1.15,1.10,1.1,1.1,0.8,0.8,0.8,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Legumes,fababean_dry_seed,Fababean (broad bean) - Dry/Seed,0.5,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.15,1.15,1.15,0.30,0.3,0.3,0.8,0.8,0.8,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Legumes,garbanzo,Garbanzo,0.6,1.0,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.15,1.15,1.15,0.35,0.35,0.35,0.8,0.8,0.8,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",FAO-56 table text appears as 'Grabanzo'.,
Legumes,green_gram_and_cowpeas,Green Gram and Cowpeas,0.6,1.0,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.05,1.05,1.05,0.60-0.35,0.35,0.6,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,FAO-56 footnote: first Kc_end is for harvested fresh; second is for harvested dry.
Legumes,groundnut_peanut,Groundnut (Peanut),0.5,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.15,1.15,1.15,0.60,0.6,0.6,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Legumes,lentil,Lentil,0.6,0.8,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.10,1.1,1.1,0.30,0.3,0.3,0.5,0.5,0.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Legumes,peas_fresh,Peas - Fresh,0.6,1.0,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.15,1.15,1.15,1.10,1.1,1.1,0.5,0.5,0.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,"FAO-56 footnote: for staked peas reaching 1.5-2 m, Kc_mid around 1.20 can be used."
Legumes,peas_dry_seed,Peas - Dry/Seed,0.6,1.0,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.15,1.15,1.15,0.30,0.3,0.3,0.5,0.5,0.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,"FAO-56 footnote: for staked peas reaching 1.5-2 m, Kc_mid around 1.20 can be used."
Legumes,soybeans,Soybeans,0.6,1.3,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.15,1.15,1.15,0.50,0.5,0.5,0.5-1.0,0.5,1.0,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
